year,month,day,team,rank
2021,11,14,Tampa Bay,32.5
2021,11,14,Arizona,30.8
2021,11,14,Dallas,30.1
2021,11,14,Buffalo,29.4
2021,11,14,LA Rams,29.0
2021,11,14,Tennessee,28.3
2021,11,14,Indianapolis,27.2
2021,11,14,Cincinnati,26.2
2021,11,14,Baltimore,25.7
2021,11,14,New England,25.6
2021,11,14,Philadelphia,25.2
2021,11,14,New Orleans,25.1
2021,11,14,Cleveland,24.9
2021,11,14,LA Chargers,24.9
2021,11,14,Kansas City,24.6
2021,11,14,Las Vegas,24.5
2021,11,14,Minnesota,24.3
2021,11,14,San Francisco,23.1
2021,11,14,Seattle,22.6
2021,11,14,Green Bay,22.1
2021,11,14,Atlanta,21.9
2021,11,14,Denver,20.8
2021,11,14,Pittsburgh,20.1
2021,11,14,NY Giants,19.9
2021,11,14,Washington,19.5
2021,11,14,Carolina,19.0
2021,11,14,NY Jets,18.0
2021,11,14,Miami,17.7
2021,11,14,Detroit,16.8
2021,11,14,Chicago,16.7
2021,11,14,Jacksonville,16.5
2021,11,14,Houston,14.2
2021,11,7,Buffalo,32.7
2021,11,7,Tampa Bay,32.5
2021,11,7,Dallas,32.1
2021,11,7,Arizona,30.8
2021,11,7,LA Rams,30.6
2021,11,7,Tennessee,28.4
2021,11,7,Cincinnati,27.5
2021,11,7,Indianapolis,27.2
2021,11,7,Baltimore,26.7
2021,11,7,Kansas City,26.0
2021,11,7,New England,25.8
2021,11,7,Las Vegas,25.7
2021,11,7,Philadelphia,25.4
2021,11,7,New Orleans,25.1
2021,11,7,LA Chargers,24.6
2021,11,7,Green Bay,24.0
2021,11,7,San Francisco,24.0
2021,11,7,Minnesota,23.3
2021,11,7,Cleveland,22.9
2021,11,7,Seattle,22.6
2021,11,7,Atlanta,21.1
2021,11,7,Carolina,20.6
2021,11,7,Denver,19.6
2021,11,7,NY Giants,19.5
2021,11,7,Washington,19.5
2021,11,7,Pittsburgh,18.9
2021,11,7,NY Jets,18.0
2021,11,7,Jacksonville,17.6
2021,11,7,Miami,17.3
2021,11,7,Detroit,16.8
2021,11,7,Chicago,15.4
2021,11,7,Houston,14.9
2021,10,31,Dallas,34.2
2021,10,31,Buffalo,33.8
2021,10,31,Tampa Bay,33.3
2021,10,31,Arizona,30.8
2021,10,31,LA Rams,29.6
2021,10,31,Tennessee,27.6
