year,month,day,team,total_points_per_game
2021,11,21,Dallas,43.0
2021,11,21,Buffalo,45.0
2021,11,21,Tampa Bay,19.0
2021,11,21,Arizona,10.0
2021,11,21,Tennessee,23.0
2021,11,21,New England,25.0
2021,11,21,LA Rams,10.0
2021,11,21,Indianapolis,23.0
2021,11,21,Cincinnati,16.0
2021,11,21,Kansas City,41.0
2021,11,21,Philadelphia,30.0
2021,11,21,Baltimore,10.0
2021,11,21,New Orleans,21.0
2021,11,21,Minnesota,27.0
2021,11,21,LA Chargers,20.0
2021,11,21,San Francisco,31.0
2021,11,21,Las Vegas,14.0
2021,11,21,Cleveland,7.0
2021,11,21,Green Bay,17.0
2021,11,21,Washington,29.0
2021,11,21,Carolina,34.0
2021,11,21,Seattle,0.0
2021,11,21,Denver,13.0
2021,11,21,NY Giants,23.0
2021,11,21,Pittsburgh,16.0
2021,11,21,NY Jets,17.0
2021,11,21,Atlanta,0.0
2021,11,21,Miami,22.0
2021,11,21,Detroit,16.0
2021,11,21,Chicago,27.0
2021,11,21,Jacksonville,17.0
2021,11,21,Houston,9.0
2021,11,14,Tampa Bay,27.0
2021,11,14,Arizona,31.0
2021,11,14,Dallas,16.0
2021,11,14,Buffalo,6.0
2021,11,14,LA Rams,16.0
2021,11,14,Tennessee,28.0
2021,11,14,Indianapolis,45.0
2021,11,14,Cincinnati,16.0
2021,11,14,Baltimore,10.0
2021,11,14,New England,24.0
2021,11,14,Philadelphia,24.0
2021,11,14,New Orleans,25.0
2021,11,14,Cleveland,41.0
2021,11,14,LA Chargers,27.0
2021,11,14,Kansas City,13.0
2021,11,14,Las Vegas,16.0
2021,11,14,Minnesota,31.0
2021,11,14,San Francisco,17.0
2021,11,14,Seattle,31.0
2021,11,14,Green Bay,7.0
2021,11,14,Atlanta,27.0
2021,11,14,Denver,30.0
2021,11,14,Pittsburgh,29.0
2021,11,14,NY Giants,23.0
2021,11,14,Washington,10.0
2021,11,14,Carolina,6.0
2021,11,14,NY Jets,30.0
2021,11,14,Miami,22.0
2021,11,14,Detroit,6.0
2021,11,14,Chicago,27.0
2021,11,14,Jacksonville,9.0
2021,11,14,Houston,9.0
2021,11,7,Buffalo,26.0
2021,11,7,Tampa Bay,27.0
2021,11,7,Dallas,20.0
2021,11,7,Arizona,21.0
2021,11,7,LA Rams,38.0
2021,11,7,Tennessee,34.0
2021,11,7,Cincinnati,31.0
2021,11,7,Indianapolis,45.0
2021,11,7,Baltimore,17.0
2021,11,7,Kansas City,20.0
2021,11,7,New England,27.0
2021,11,7,Las Vegas,33.0
2021,11,7,Philadelphia,44.0
2021,11,7,New Orleans,36.0
2021,11,7,LA Chargers,24.0
2021,11,7,Green Bay,24.0
2021,11,7,San Francisco,33.0
2021,11,7,Minnesota,16.0
